Energy_Source,Transport,Frequency of Transport,Waste Production,How Long Machine Works Daily,Machine repairing(in Months),Energy efficiency,Recycling Waste,CarbonEmission
coal,private,very frequently,large Scale,10,1,Sometimes,YES,3617
wood,public,rarely,medium Scale,17,0,Sometimes,YES,1404
coal,private,frequently,small Scale,10,1,Yes,NO,1664
wood,public,very frequently,medium Scale,12,1,Sometimes,YES,2598
natural gas,public,rarely,large Scale,0,0,No,YES,1153
electricity,private,very frequently,Mega Scale,18,2,Sometimes,YES,2754
coal,public,very frequently,medium Scale,20,2,Sometimes,YES,2860
natural gas,public,rarely,small Scale,0,1,No,YES,939
natural gas,private,rarely,large Scale,20,0,No,YES,2760
coal,private,frequently,large Scale,7,0,No,YES,2358
wood,private,rarely,Mega Scale,20,2,Yes,YES,2139
coal,private,rarely,small Scale,21,2,No,YES,4974
electricity,public,rarely,Mega Scale,9,0,Yes,NO,1739
natural gas,private,rarely,large Scale,2,0,Sometimes,YES,984
coal,private,very frequently,small Scale,24,0,No,YES,4546
wood,private,very frequently,large Scale,13,2,Yes,YES,2950
coal,private,very frequently,small Scale,23,1,Yes,YES,2635
electricity,public,rarely,medium Scale,16,0,Yes,YES,913
electricity,private,rarely,large Scale,2,0,Sometimes,YES,2099
natural gas,private,very frequently,medium Scale,19,1,Yes,YES,2268
wood,private,rarely,medium Scale,1,1,No,YES,1466
natural gas,private,rarely,small Scale,20,2,No,YES,4056
coal,private,rarely,Mega Scale,8,2,Sometimes,YES,2424
electricity,private,rarely,medium Scale,2,2,Sometimes,YES,3016
natural gas,public,very frequently,small Scale,4,2,Yes,YES,2672
coal,public,rarely,large Scale,19,0,Sometimes,YES,847
electricity,public,rarely,medium Scale,13,1,Sometimes,YES,868
natural gas,private,rarely,medium Scale,1,2,Sometimes,YES,1382
electricity,private,rarely,large Scale,19,2,No,YES,2680
wood,public,rarely,small Scale,3,0,Yes,YES,1116
wood,public,rarely,small Scale,3,2,Sometimes,YES,1710
electricity,private,very frequently,medium Scale,23,2,Yes,YES,2752
wood,public,rarely,Mega Scale,5,2,Yes,YES,1781
coal,public,frequently,medium Scale,13,0,Sometimes,YES,1415
wood,private,rarely,small Scale,3,2,Yes,YES,2265
wood,private,rarely,Mega Scale,1,1,Yes,YES,1393
wood,private,very frequently,large Scale,11,1,Yes,YES,2947
coal,public,frequently,small Scale,13,0,Sometimes,YES,2413
wood,public,very frequently,Mega Scale,20,1,Sometimes,YES,2704
electricity,public,rarely,large Scale,6,1,Yes,YES,1162
natural gas,private,frequently,Mega Scale,21,1,Yes,NO,2265
wood,private,frequently,Mega Scale,0,0,No,YES,4035
wood,private,frequently,small Scale,16,1,No,YES,2306
electricity,private,rarely,Mega Scale,19,1,Yes,YES,1842
natural gas,private,rarely,Mega Scale,21,1,Sometimes,YES,1803
coal,public,rarely,large Scale,9,0,No,YES,938
coal,public,frequently,large Scale,18,1,Yes,YES,2800
wood,public,frequently,small Scale,21,0,Sometimes,YES,1472
natural gas,private,rarely,large Scale,16,1,Sometimes,YES,1926
wood,private,frequently,medium Scale,16,2,No,YES,4625
coal,private,rarely,medium Scale,9,2,Yes,YES,1567
coal,public,rarely,large Scale,13,1,Yes,YES,1598
natural gas,public,rarely,large Scale,15,0,Yes,YES,932
electricity,public,rarely,large Scale,2,1,Yes,YES,1094
natural gas,private,frequently,small Scale,8,1,No,YES,1272
electricity,private,very frequently,large Scale,8,2,No,NO,4561
coal,private,rarely,Mega Scale,23,0,No,YES,2150
wood,public,frequently,medium Scale,14,0,Yes,NO,2310
coal,public,rarely,Mega Scale,14,2,No,NO,1782
electricity,private,rarely,medium Scale,16,2,Sometimes,YES,4209
coal,private,very frequently,medium Scale,12,2,No,YES,2830
natural gas,private,frequently,large Scale,12,2,Sometimes,YES,2066
wood,private,frequently,Mega Scale,14,0,No,YES,2404
electricity,private,frequently,Mega Scale,19,2,No,YES,4846
wood,public,rarely,medium Scale,16,2,No,YES,1611
electricity,public,rarely,small Scale,18,1,Yes,YES,1125
natural gas,private,very frequently,Mega Scale,24,1,No,YES,4335
natural gas,public,rarely,small Scale,13,0,Yes,YES,866
coal,public,rarely,small Scale,12,1,Yes,YES,1348
natural gas,public,rarely,small Scale,14,2,Sometimes,YES,1741
coal,public,very frequently,medium Scale,7,1,No,YES,2896
natural gas,public,very frequently,large Scale,2,0,Sometimes,YES,2409
natural gas,public,rarely,small Scale,23,1,Sometimes,YES,663
wood,public,frequently,small Scale,14,2,Yes,YES,2096
natural gas,private,very frequently,Mega Scale,17,0,No,NO,3683
natural gas,private,frequently,Mega Scale,10,1,No,YES,1713
wood,public,rarely,small Scale,8,2,Yes,YES,1529
electricity,private,very frequently,Mega Scale,21,2,No,YES,2387
coal,private,rarely,Mega Scale,11,2,Yes,YES,3913
electricity,private,rarely,small Scale,5,2,Yes,NO,4068
coal,private,very frequently,large Scale,17,2,Yes,YES,3149
wood,private,frequently,Mega Scale,5,0,Sometimes,YES,3676
wood,public,rarely,Mega Scale,17,0,No,YES,1745
electricity,private,frequently,Mega Scale,15,2,No,YES,3135
natural gas,private,very frequently,medium Scale,2,0,No,NO,4156
electricity,private,frequently,medium Scale,13,1,Yes,YES,2033
electricity,public,rarely,medium Scale,1,0,Sometimes,YES,920
natural gas,public,very frequently,large Scale,23,1,Sometimes,YES,2902
electricity,private,frequently,large Scale,6,2,No,YES,4513
coal,private,rarely,large Scale,16,0,Sometimes,YES,1350
natural gas,private,frequently,Mega Scale,0,2,Yes,YES,1630
wood,public,rarely,Mega Scale,15,2,Yes,YES,1509
wood,public,very frequently,Mega Scale,11,2,Sometimes,YES,4068
natural gas,public,very frequently,small Scale,0,1,No,YES,2578
wood,private,very frequently,large Scale,16,0,Sometimes,YES,2448
wood,public,rarely,Mega Scale,16,0,Sometimes,YES,2660
coal,private,frequently,large Scale,12,0,Yes,YES,2046
natural gas,public,rarely,Mega Scale,18,2,No,YES,1519
natural gas,private,frequently,large Scale,0,1,No,YES,5162
electricity,public,rarely,small Scale,10,1,Sometimes,YES,782
wood,private,frequently,medium Scale,1,0,Sometimes,YES,4215
coal,public,very frequently,Mega Scale,18,2,Yes,YES,3865
electricity,private,frequently,large Scale,23,2,Sometimes,YES,2376
wood,private,rarely,large Scale,5,1,Yes,YES,1592
natural gas,private,rarely,Mega Scale,8,1,No,YES,1351
electricity,private,very frequently,medium Scale,6,2,No,YES,2722
electricity,public,rarely,large Scale,6,1,Yes,YES,1593
electricity,public,rarely,Mega Scale,10,2,Sometimes,YES,1247
natural gas,private,very frequently,medium Scale,8,0,No,YES,2229
natural gas,public,very frequently,large Scale,12,0,No,YES,3009
wood,private,rarely,small Scale,18,1,Yes,YES,783
electricity,public,frequently,large Scale,3,0,Yes,YES,1538
natural gas,public,very frequently,large Scale,10,2,Yes,YES,2326
coal,public,frequently,large Scale,1,2,Sometimes,YES,2762
wood,public,rarely,large Scale,15,2,Yes,YES,2676
wood,private,rarely,medium Scale,11,2,Yes,YES,1515
wood,private,frequently,Mega Scale,14,2,Sometimes,YES,2232
natural gas,private,rarely,Mega Scale,16,1,Yes,YES,2090
coal,private,frequently,Mega Scale,13,2,No,YES,4116
coal,private,frequently,Mega Scale,10,0,Sometimes,YES,1642
wood,public,rarely,Mega Scale,16,1,Sometimes,YES,1536
electricity,public,frequently,small Scale,4,1,Yes,NO,1807
electricity,private,frequently,Mega Scale,5,0,No,YES,2065
electricity,private,rarely,small Scale,6,1,No,YES,1124
wood,public,frequently,medium Scale,20,2,No,YES,2227
wood,public,rarely,large Scale,2,1,Sometimes,YES,1322
coal,public,very frequently,Mega Scale,22,1,No,YES,2999
natural gas,private,very frequently,Mega Scale,11,2,No,YES,4893
natural gas,public,frequently,Mega Scale,15,1,Yes,YES,2264
wood,private,very frequently,large Scale,15,1,No,YES,4847
natural gas,private,very frequently,medium Scale,3,1,Yes,YES,4998
natural gas,public,rarely,large Scale,0,0,No,NO,1358
electricity,private,rarely,medium Scale,14,0,No,YES,1062
electricity,private,frequently,Mega Scale,16,0,Yes,YES,2805
natural gas,private,very frequently,small Scale,2,0,Sometimes,YES,2181
wood,private,frequently,medium Scale,11,0,Yes,YES,5592
natural gas,public,frequently,medium Scale,19,2,No,NO,2453
coal,private,frequently,small Scale,5,1,No,YES,2133
wood,public,frequently,large Scale,23,2,Sometimes,YES,1933
natural gas,public,rarely,small Scale,20,1,Sometimes,YES,1104
wood,public,frequently,Mega Scale,24,1,Yes,YES,2583
coal,public,frequently,medium Scale,4,2,No,NO,2694
coal,public,rarely,large Scale,3,2,No,YES,1961
natural gas,private,rarely,small Scale,22,0,No,YES,1923
natural gas,public,very frequently,Mega Scale,15,2,Yes,YES,2912
electricity,public,very frequently,medium Scale,1,2,Sometimes,YES,2808
natural gas,public,rarely,small Scale,6,1,No,NO,1098
wood,public,frequently,large Scale,6,2,No,YES,2916
electricity,public,very frequently,Mega Scale,8,1,Sometimes,YES,2145
natural gas,public,rarely,medium Scale,11,1,No,YES,1330
natural gas,private,frequently,large Scale,12,0,Sometimes,YES,1813
coal,public,frequently,small Scale,6,1,Yes,YES,2391
coal,public,very frequently,large Scale,24,1,Sometimes,YES,3268
coal,private,frequently,medium Scale,23,1,No,YES,3528
wood,private,very frequently,small Scale,7,0,No,NO,4395
natural gas,public,rarely,Mega Scale,9,1,No,YES,1880
wood,public,very frequently,Mega Scale,14,2,No,YES,3088
wood,private,frequently,Mega Scale,8,2,Yes,YES,1730
wood,private,rarely,large Scale,15,1,No,YES,2617
coal,private,rarely,large Scale,2,1,No,YES,1817
electricity,private,very frequently,Mega Scale,0,0,Sometimes,YES,2199
electricity,public,rarely,large Scale,4,2,Sometimes,YES,1429
electricity,public,very frequently,Mega Scale,15,0,Yes,YES,1904
coal,private,rarely,medium Scale,15,1,No,YES,3804
electricity,public,very frequently,small Scale,9,2,Yes,YES,2862
electricity,public,frequently,Mega Scale,0,2,No,YES,1426
coal,public,frequently,large Scale,17,1,Yes,YES,2165
electricity,public,rarely,small Scale,10,1,No,YES,1020
electricity,public,frequently,Mega Scale,13,2,Sometimes,YES,1960
coal,private,very frequently,medium Scale,11,1,No,YES,5340
electricity,private,frequently,large Scale,15,2,Sometimes,YES,1746
electricity,public,frequently,Mega Scale,3,2,Sometimes,YES,2056
coal,private,very frequently,medium Scale,8,2,Sometimes,YES,3112
wood,public,rarely,Mega Scale,22,0,Yes,YES,1102
coal,private,rarely,medium Scale,12,1,No,YES,1188
coal,public,rarely,Mega Scale,22,2,No,YES,1993
electricity,private,rarely,small Scale,15,2,No,YES,3135
coal,private,frequently,small Scale,22,2,Yes,YES,1944
electricity,public,rarely,medium Scale,13,0,Sometimes,YES,1248
natural gas,public,frequently,medium Scale,23,1,No,YES,1502
natural gas,private,rarely,large Scale,12,0,No,YES,2190
coal,public,very frequently,medium Scale,3,1,Yes,YES,3121
coal,public,very frequently,small Scale,14,1,Yes,YES,2543
coal,public,rarely,Mega Scale,20,0,Sometimes,YES,2443
coal,public,frequently,large Scale,23,0,No,YES,2043
coal,public,frequently,large Scale,20,0,Yes,YES,2193
wood,public,rarely,large Scale,7,0,Sometimes,YES,1804
electricity,public,rarely,large Scale,22,1,Sometimes,YES,1107
electricity,private,rarely,medium Scale,3,0,Yes,YES,1861
coal,public,rarely,Mega Scale,6,1,Sometimes,YES,1110
natural gas,private,frequently,small Scale,20,2,Yes,YES,2519
electricity,public,very frequently,Mega Scale,10,1,No,YES,2482
electricity,public,frequently,large Scale,6,1,Yes,YES,1363
coal,private,rarely,Mega Scale,23,2,No,YES,3645
coal,private,rarely,Mega Scale,6,0,No,YES,1678
electricity,private,very frequently,large Scale,0,1,Sometimes,YES,2738
electricity,public,frequently,medium Scale,2,0,Yes,YES,1741
electricity,public,rarely,medium Scale,16,0,Sometimes,YES,898
electricity,public,rarely,Mega Scale,23,2,Yes,NO,2181
natural gas,public,frequently,medium Scale,12,1,Sometimes,YES,1963
coal,public,rarely,Mega Scale,13,1,Yes,YES,1893
electricity,public,frequently,large Scale,19,0,No,YES,1528
electricity,private,very frequently,large Scale,15,2,Sometimes,YES,6637
coal,private,very frequently,Mega Scale,7,0,Sometimes,YES,2484
wood,public,very frequently,large Scale,6,2,Sometimes,YES,2565
electricity,public,frequently,large Scale,11,0,Yes,YES,1760
wood,public,rarely,small Scale,13,2,No,YES,1860
natural gas,public,rarely,large Scale,18,2,Sometimes,YES,2170
coal,public,very frequently,large Scale,12,1,Yes,YES,2942
natural gas,private,rarely,Mega Scale,21,2,Sometimes,YES,1562
coal,public,rarely,small Scale,10,1,Yes,YES,1746
electricity,private,very frequently,Mega Scale,4,1,No,YES,4734
coal,public,rarely,Mega Scale,3,2,Yes,YES,1903
electricity,public,rarely,medium Scale,14,0,Sometimes,YES,903
wood,public,frequently,small Scale,7,0,Yes,YES,1829
coal,public,rarely,medium Scale,14,2,Sometimes,YES,2041
natural gas,private,very frequently,large Scale,8,0,Sometimes,YES,2234
wood,private,frequently,medium Scale,10,2,Yes,YES,2167
natural gas,private,very frequently,small Scale,11,1,Sometimes,YES,2426
coal,private,frequently,small Scale,14,1,Sometimes,YES,1770
natural gas,private,rarely,large Scale,11,2,No,YES,1580
electricity,public,frequently,small Scale,21,0,Sometimes,YES,1869
wood,public,very frequently,small Scale,19,1,Sometimes,YES,2575
natural gas,public,frequently,small Scale,19,0,No,YES,1397
wood,private,rarely,Mega Scale,19,2,Yes,YES,2145
coal,private,rarely,medium Scale,12,2,Sometimes,YES,4314
electricity,public,very frequently,small Scale,9,1,No,YES,2215
coal,public,frequently,Mega Scale,18,1,Sometimes,NO,3501
coal,private,rarely,medium Scale,19,2,Yes,YES,3933
wood,private,rarely,Mega Scale,8,2,Sometimes,YES,2554
electricity,private,very frequently,small Scale,18,1,Yes,YES,4300
wood,public,frequently,medium Scale,12,2,Yes,YES,2577
wood,private,very frequently,large Scale,24,0,No,YES,3422
electricity,public,very frequently,Mega Scale,19,0,No,YES,2220
natural gas,public,rarely,small Scale,20,0,Yes,NO,1213
natural gas,private,rarely,large Scale,2,1,Sometimes,YES,3904
electricity,private,rarely,small Scale,20,2,Sometimes,YES,1097
coal,public,rarely,small Scale,22,0,Yes,YES,1466
coal,private,very frequently,medium Scale,11,0,Yes,YES,3728
electricity,public,rarely,small Scale,18,0,No,YES,869
wood,public,very frequently,large Scale,4,0,Yes,NO,2067
wood,private,rarely,small Scale,20,0,Yes,YES,2922
electricity,public,very frequently,large Scale,6,2,Sometimes,YES,2452
electricity,public,frequently,large Scale,6,0,Sometimes,YES,1271
wood,public,frequently,small Scale,13,2,Yes,YES,2342
natural gas,public,frequently,medium Scale,23,2,Yes,YES,1954
natural gas,private,very frequently,large Scale,23,2,Sometimes,YES,3676
wood,public,very frequently,large Scale,2,0,Yes,YES,2416
wood,public,very frequently,Mega Scale,9,2,Sometimes,YES,2553
natural gas,private,rarely,medium Scale,19,2,No,YES,1451
natural gas,public,very frequently,small Scale,12,1,Yes,YES,2079
coal,private,rarely,medium Scale,9,1,No,YES,3318
coal,private,rarely,Mega Scale,15,1,No,YES,1730
coal,public,rarely,medium Scale,22,2,No,YES,2435
wood,private,rarely,small Scale,6,2,Yes,YES,1571
electricity,private,rarely,large Scale,2,0,No,NO,1259
wood,public,very frequently,large Scale,1,1,Yes,YES,2550
natural gas,public,very frequently,small Scale,3,0,No,YES,2772
natural gas,public,very frequently,medium Scale,4,2,No,YES,2093
electricity,public,rarely,small Scale,8,2,Sometimes,YES,937
coal,public,rarely,large Scale,17,2,No,YES,2496
coal,public,rarely,small Scale,20,0,Sometimes,YES,1496
coal,private,rarely,large Scale,11,1,Yes,YES,1555
natural gas,private,frequently,small Scale,15,0,Yes,YES,2044
natural gas,private,rarely,large Scale,12,2,No,YES,2066
natural gas,private,frequently,Mega Scale,23,1,Yes,YES,2400
natural gas,private,rarely,medium Scale,20,0,Sometimes,YES,1852
wood,private,frequently,medium Scale,15,1,Yes,YES,4814
coal,public,very frequently,large Scale,9,2,Sometimes,YES,2584
wood,public,frequently,Mega Scale,4,2,Yes,NO,2614
electricity,private,frequently,Mega Scale,11,1,Sometimes,YES,5409
wood,public,frequently,medium Scale,11,0,Yes,YES,1971
natural gas,public,rarely,small Scale,19,2,Sometimes,YES,1423
coal,public,very frequently,small Scale,1,0,Yes,YES,2779
electricity,public,rarely,small Scale,24,1,No,YES,1034
coal,public,rarely,Mega Scale,5,2,Sometimes,YES,2093
coal,public,frequently,medium Scale,17,2,Sometimes,YES,2574
electricity,public,very frequently,medium Scale,1,1,Yes,YES,2034
electricity,private,rarely,Mega Scale,9,2,Sometimes,YES,1294
coal,public,very frequently,medium Scale,17,2,Yes,YES,3752
wood,public,very frequently,small Scale,3,2,Sometimes,YES,3273
electricity,public,rarely,Mega Scale,5,0,Yes,YES,931
coal,public,very frequently,Mega Scale,16,2,Sometimes,YES,3493
natural gas,public,frequently,small Scale,2,1,Sometimes,YES,1493
electricity,public,rarely,large Scale,2,0,No,YES,1133
natural gas,private,rarely,small Scale,0,1,Yes,YES,2139
coal,public,frequently,medium Scale,10,0,Sometimes,YES,2050
natural gas,public,very frequently,large Scale,17,0,Yes,YES,2609
electricity,private,very frequently,Mega Scale,24,0,Sometimes,YES,2404
electricity,private,frequently,small Scale,12,2,No,YES,1929
coal,private,frequently,large Scale,24,2,Yes,YES,2803
natural gas,public,frequently,small Scale,20,1,Sometimes,YES,1284
electricity,private,frequently,medium Scale,15,1,Sometimes,YES,1526
wood,private,frequently,Mega Scale,10,2,No,YES,2014
coal,private,frequently,Mega Scale,2,2,No,YES,2334
coal,private,very frequently,Mega Scale,11,0,No,NO,3579
coal,public,very frequently,small Scale,6,2,No,NO,2838
coal,private,rarely,large Scale,4,1,Yes,YES,2946
natural gas,public,rarely,Mega Scale,3,0,No,YES,1627
coal,public,very frequently,Mega Scale,20,0,Yes,YES,2643
coal,private,frequently,Mega Scale,18,0,No,YES,2225
natural gas,private,frequently,small Scale,8,2,Sometimes,YES,2196
coal,private,rarely,medium Scale,22,1,Sometimes,YES,5476
wood,private,rarely,medium Scale,17,1,No,YES,1318
coal,private,rarely,small Scale,20,2,No,YES,1602
natural gas,private,frequently,small Scale,5,2,Sometimes,YES,2202
coal,public,very frequently,small Scale,6,1,Yes,YES,2574
electricity,private,frequently,small Scale,21,0,Sometimes,YES,4158
electricity,public,rarely,large Scale,24,2,Sometimes,YES,1075
wood,private,very frequently,medium Scale,8,1,Yes,YES,3876
wood,private,very frequently,large Scale,10,0,Sometimes,YES,2674
wood,private,rarely,small Scale,11,2,No,YES,1892
wood,private,rarely,medium Scale,19,2,Yes,YES,1960
natural gas,public,rarely,medium Scale,20,0,Yes,YES,1161
coal,public,rarely,large Scale,5,2,Sometimes,YES,2176
